IC_ACAO;TS_DATA_HORA_ACAO;NU_PROCESSO;CODENT;CENTALTA;CUENTA;NUMBENCTA;CODCONECO;PAN;NUMCUOTA;TIPCUOTA;IMPTOTCUO;IMPCUOPER;NUMMESTOT;NUMMESPER;CLAMON;FECALTA;FECPROXPER;FECBAJA;MOTBAJA;FECINIDIF;FECFINDIF;IMPCUODIF;NUMMESDIF;CALPART;CODENTUMO;CODOFIUMO;USUARIOUMO;CODTERMUMO;CONTCUR;TIPOFACANU;VLESTORNOPLANO;VLESTORNOCLIENTE
D;2021-08-23 23:45:26;100;100;1000;100000;100000;100;10400020000200000000;1202000000;S;29 854;67 596;1;1;986;2023-01-18;2021-06-04;2022-04-22;0;2021-05-24;2022-09-11;12500012;1;BE;0104;BATC;F653765;BATH0;2021-05-03 06:22:38;1;13 083;75 979
I;2022-12-09 17:17:14;109;101;1002;100006;100010;103;10400020000200000000;1202000001;S;41 690;89 197;2;3;986;2022-09-02;2022-03-20;2021-08-23;3;2022-08-28;2022-10-03;12500011;9;TI;0104;BATC;ATB063;BATX6;2022-02-21 16:54:50;2;91 175;40 909
D;2021-04-01 04:46:32;118;102;1004;100012;100020;106;10400020000200000000;1202000002;M;19 840;95 573;3;5;986;2022-07-28;2021-03-29;2022-08-17;1;2021-10-02;2022-12-28;12500010;8;TI;0104;BATC;ATB063;BATPE;2022-11-10 23:53:06;3;54 796;96 911
I;2021-12-07 23:31:00;127;103;1006;100018;100030;109;10400020000200000000;1202000003;E;99 662;178;4;7;840;2022-04-01;2022-09-07;2022-04-28;3;2021-05-07;2022-02-12;12500009;10;TI;0104;BATC;F780328;BATN7;2022-02-08 13:48:50;4;10 413;41 690
D;2021-11-07 06:18:35;136;104;1008;100024;100040;112;10400020000200000000;1202000004;M;55 813;25 539;5;9;986;2021-08-31;2022-03-05;2023-01-29;3;2022-06-04;2022-04-19;12500008;2;BE;0104;BATC;F653765;BATMC;2021-12-10 04:06:07;5;58 766;62 682
I;2022-10-18 05:22:39;145;105;1010;100030;100050;115;10400020000200000000;1202000005;S;26 796;80 570;6;11;986;2022-11-29;2021-05-08;2022-01-15;3;2023-01-17;2021-04-15;12500007;7;TI;0104;BATC;F563619;BATD4;2022-04-07 09:16:41;6;19 363;24 577
A;2021-03-06 20:50:39;154;106;1012;100036;100060;118;10400020000200000000;1202000006;E;55 129;17 230;7;13;986;2021-09-07;2022-01-10;2021-05-05;3;2022-01-29;2022-10-16;12500006;8;TI;0104;BATC;C112144;BATQ8;2022-05-05 23:55:13;7;81 817;16 226
D;2022-04-23 02:18:19;163;107;1014;100042;100070;121;10400020000200000000;1202000007;E;25 542;50 720;8;15;840;2021-06-12;2022-02-19;2021-02-07;3;2021-05-16;2021-08-14;12500005;9;BE;0104;BATC;F563619;BATHC;2022-01-04 01:07:07;8;39 152;95 627
I;2022-01-11 04:11:24;172;108;1016;100048;100080;124;10400020000200000000;1202000008;E;97 370;30 218;9;17;986;2023-01-23;2022-11-04;2022-05-15;1;2021-10-20;2021-12-26;12500004;9;TI;0104;BATC;C112144;BATXE;2021-12-14 04:41:49;9;91 147;58 909
A;2022-04-11 19:58:55;181;109;1018;100054;100090;127;10400020000200000000;1202000009;S;2 682;65 706;10;19;986;2022-08-15;2021-11-10;2021-12-05;1;2022-06-21;2022-01-18;12500003;8;TI;0104;BATC;F780328;BATJD;2023-01-27 16:04:03;10;34 807;6 923
